Country,#Of Constructors,Constructor Names
British,85,"McLaren ,Williams ,BAR ,Jaguar ,Arrows ,Brawn ,Stewart ,Tyrrell ,Lola ,Footwork ,Pacific ,Simtek ,Team Lotus ,Brabham ,March ,Leyton House ,Onyx ,RAM ,Spirit ,Toleman ,Ensign ,Shadow ,Surtees ,Hesketh ,BRM ,LEC ,Embassy Hill ,Lyncar ,Trojan ,Token ,Iso Marlboro ,Politoys ,Connew ,Cooper ,Protos ,Shannon ,Scirocco ,BRP ,Derrington ,Gilby ,Emeryson ,JBW ,Ferguson ,Aston Martin ,Vanwall ,Fry ,Connaught ,Alta ,HWM ,Frazer Nash ,ERA ,Aston Butterworth ,Cooper-Maserati ,Virgin ,Cooper-OSCA ,Cooper-Borgward ,Cooper-Climax ,Cooper-Castellotti ,Lotus-Climax ,Lotus-Maserati ,Lotus-BRM ,Lotus-Borgward ,Cooper-Alfa Romeo ,Lotus-Ford ,Brabham-BRM ,Brabham-Ford ,Brabham-Climax ,Cooper-Ford ,McLaren-Ford ,McLaren-Serenissima ,Brabham-Repco ,Cooper-Ferrari ,Cooper-ATS ,McLaren-BRM ,Cooper-BRM ,BRM-Ford ,McLaren-Alfa Romeo ,March-Alfa Romeo ,March-Ford ,Lotus-Pratt &amp; Whitney ,Shadow-Ford ,Shadow-Matra ,Brabham-Alfa Romeo ,Lotus F1 ,Manor Marussia"
American,39,"Penske ,Parnelli ,Eagle ,Scarab ,Watson ,Epperly ,Phillips ,Lesovsky ,Trevis ,Meskowski ,Kurtis Kraft ,Kuzma ,Christensen ,Ewing ,Moore ,Dunn ,Elder ,Sutton ,Stevens ,Schroeder ,Pawl ,Pankratz ,Nichels ,Bromme ,Turner ,Del Roy ,Sherman ,Deidt ,Hall ,Marchese ,Langley ,Rae ,Olson ,Wetteroth ,Adams ,Snowberger ,Eagle-Climax ,Eagle-Weslake ,Haas F1 Team"
Italian,29,"Toro Rosso ,Ferrari ,Minardi ,Benetton ,Forti ,Dallara ,Fondmetal ,Andrea Moda ,Lambo ,Coloni ,Euro Brun ,Osella ,Life ,Alfa Romeo ,ATS ,Merzario ,Tecno ,De Tomaso ,Behra-Porsche ,Maserati ,Tec-Mec ,OSCA ,Lancia ,Arzani-Volpini ,Cisitalia ,Milano ,De Tomaso-Osca ,De Tomaso-Alfa Romeo ,De Tomaso-Ferrari"
French,12,"Renault ,Prost ,Ligier ,Larrousse ,AGS ,Martini ,Matra ,Gordini ,Bugatti ,Simca ,Talbot-Lago ,Matra-Ford"
German,10,"BMW Sauber ,Rial ,Zakspeed ,Kauhsen ,Porsche ,Mercedes ,Klenk ,Veritas ,BMW ,AFM"
Japanese,5,"Toyota ,Super Aguri ,Honda ,Kojima ,Maki"
Swiss,4,"Sauber ,Apollon ,Bellasi ,MBM"
Dutch,3,"Spyker ,Spyker MF1 ,Boro"
South African,3,"LDS ,LDS-Climax ,LDS-Alfa Romeo"
Russian,2,"MF1 ,Marussia"
Canadian,2,"Wolf ,Stebro"
Malaysian,2,"Lotus ,Caterham"
Indian,1,Force India
Brazilian,1,Fittipaldi
Australian,1,McGuire
Rhodesian,1,RE
East German,1,EMW
Hong Kong,1,Theodore
Irish,1,Jordan
Belgium,1,ENB
New Zealand,1,Amon
Mexican,1,Rebaque
Spanish,1,HRT
Austrian,1,Red Bull
